norm,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
mansion house,0.0020678068323784085,0.0,0.0,0.0,0.0,0.0024124413044414768,0.019816482143626416,0.07215784258820489,0.15844569853099555,0.09985783828027399,0.0370912850557877,0.03355878171714126,0.039245250506181883,0.036445095420669454,0.03678972989273252,0.04251927799078103,0.06203420497135226,0.1262223753930987,0.11192004480248137,0.05126437771938138,0.025546030241674924,0.01839486494636626,0.013742299573514841,0.010468272088915693
marble arch,0.005999480359968822,0.0006141200368472022,0.0,0.0,0.0,0.001960460117627607,0.01677020100621206,0.046271582776294964,0.07520608451236507,0.06344332380659942,0.04171292250277535,0.03953988237239294,0.044074922644495355,0.04683846281030777,0.05260174315610459,0.06259300375558023,0.07796962467817747,0.10432954625977278,0.10175496610529797,0.06495500389730023,0.046389682783380966,0.04331908259914496,0.043200982592058956,0.020454921227295274
marylebone,0.005645540694939176,0.00020162645339068486,0.0,0.0,0.0,0.0010081322669534243,0.017384680870130162,0.06893384412034859,0.11463584022223716,0.0764388287743352,0.048636781145686314,0.0386450702332146,0.03817460850863633,0.037032058606089116,0.03763693796626117,0.04960010753410848,0.07560992002150682,0.11015525236911082,0.10386002643546834,0.05779958330532966,0.03517261464704169,0.028205300535430248,0.03387324416963505,0.021350001120146962
mile end,0.011358565575433046,0.0024339783375927956,0.0,0.0,0.0,0.005091071356131597,0.021763822968642245,0.0586385947831731,0.10531012940651495,0.0749665327978581,0.04736116181899314,0.0425337714494341,0.043466796478844674,0.045941341122064015,0.04652955255364894,0.05535272402742282,0.0719240598758671,0.08973266804592106,0.08608170053953186,0.06011926493854205,0.041458764350330614,0.0338728651981664,0.03154030262463997,0.024522331751247413
mill hill east,0.007462686567164179,0.0,0.0,0.0,0.0,0.0030728709394205445,0.036215978928884986,0.16659350307287094,0.13454784899034242,0.04916593503072871,0.0300702370500439,0.025460930640913083,0.031167690956979806,0.028533801580333626,0.0276558384547849,0.06409130816505706,0.09284460052677787,0.0888937664618086,0.08977172958735734,0.03665496049165935,0.033143107989464446,0.019315188762071993,0.019534679543459176,0.015803336259877086
moor park,0.005491153142159854,0.0003050640634533252,0.0,0.0,0.0,0.005796217205613179,0.037522879804759,0.15405735204392923,0.16137888956680904,0.04148871262965223,0.020744356314826115,0.01982916412446614,0.021049420378279438,0.02532031726662599,0.02532031726662599,0.07474069554606468,0.09701037217815742,0.10128126906650396,0.0860280658938377,0.05094569859670531,0.026540573520439294,0.017388651616839536,0.015558267236119585,0.012202562538133009
moorgate,0.0019984384295062465,0.0,0.0,0.0,0.0,0.003922516359309934,0.032523423557406304,0.11965533908387864,0.22428056216537776,0.12142140095181439,0.03668761154074955,0.02783871207614515,0.028554431885782272,0.025589306960142773,0.026360797144556813,0.03232822724568709,0.0497006989886972,0.09656640392623439,0.07928688280785247,0.03806328078524688,0.021016136228435456,0.015327558001189769,0.011284205829863177,0.007594066032123736
morden,0.013202634400367591,0.0030019911165569,0.0,0.0,0.0,0.016939807014856794,0.05936590595803339,0.11747587685709909,0.11943636085158524,0.056241384591821104,0.03106141828763976,0.02830448767039363,0.029315362230050542,0.030448767039362844,0.03293000459488436,0.04098636850972584,0.06619696737632103,0.09395006892326543,0.0942563945474039,0.05731352427630571,0.03436973502833512,0.026834124674529024,0.024567315055904426,0.023801500995558278
mornington crescent,0.008629207562084185,0.002173769843883802,0.0,0.0,0.0,0.0012515644555694619,0.014294183518872275,0.05138001449179896,0.12706672814702588,0.0978196429747711,0.036427112838416445,0.029247085172254793,0.03366049667347342,0.03352875304657137,0.03326526579276728,0.041696857914498384,0.06633291614518148,0.1360911665898162,0.105658388775443,0.05520057967195837,0.033001778538963175,0.029247085172254793,0.03813977998814307,0.025887622686252554
neasden,0.009657009657009658,0.0011655011655011655,0.0,0.0,0.0,0.012987012987012988,0.06460206460206461,0.10323010323010323,0.11047286047286048,0.059107559107559104,0.03571428571428571,0.030885780885780884,0.031135531135531136,0.033383283383283384,0.03704628704628705,0.05036630036630037,0.07742257742257742,0.10381285381285381,0.09365634365634366,0.050616050616050616,0.031385281385281384,0.023143523143523144,0.022893772893772892,0.017316017316017316
newbury park,0.008695154739431383,0.001944968823293862,0.0,0.0,0.0,0.025170184772038213,0.08357645443624506,0.10920427893141124,0.11955837766718151,0.0521709284365883,0.031176706138092786,0.02591384932212116,0.026543103941422116,0.02717235856072307,0.030318631657227847,0.043418568731765916,0.06321148675705052,0.09238601910645844,0.09696241633773811,0.060808878210628685,0.03438018419998856,0.02734397345689606,0.02128024712545049,0.018763228648246668
north acton,0.008151066431191414,0.001539645881447267,0.0,0.0,0.0,0.006294434632975592,0.03645338042838382,0.07988045102567586,0.13861341303264954,0.08341257981252548,0.03708735226192093,0.029524973961871124,0.029660825069057647,0.03260426572476566,0.03323823755830277,0.04080061585835258,0.06837839061721686,0.11266585156002355,0.09926187565095322,0.05710274872073541,0.03590997599963773,0.026445682198976587,0.024362631888783227,0.018611601684553728
